open_time,close,open,high,low,ignored,ret
2004-02-22,1144.9,1144.1,1151.7,1134.4,"0,07%",-0.0062985332182915466
2004-02-29,1156.9,1144.9,1163.2,1143.8,"1,05%",0.009985239211600216
2004-03-07,1120.6,1156.9,1159.9,1105.9,"-3,14%",-0.002837001375515791
2004-03-14,1109.8,1120.6,1125.8,1102.6,"-0,96%",-0.029399086128114593
2004-03-21,1108.1,1109.8,1115.3,1087.1,"-0,15%",-0.009326701012613237
2004-03-28,1141.8,1108.1,1144.8,1108.1,"3,04%",0.026450282435219297
2004-04-04,1139.3,1141.8,1150.6,1134.5,"-0,22%",0.005066387141858808
2004-04-11,1134.6,1139.3,1147.8,1120.8,"-0,41%",-0.0024335129497653485
2004-04-18,1140.6,1134.6,1142.8,1116.0,"0,53%",-0.004356159609688048
2004-04-25,1107.3,1140.6,1146.8,1107.2,"-2,92%",0.003500175008750439
2004-05-02,1098.7,1107.3,1127.7,1098.6,"-0,78%",-0.016655040111614894
2004-05-09,1095.7,1098.7,1102.8,1076.3,"-0,27%",-0.022080340516094754
2004-05-16,1093.6,1095.7,1105.9,1079.4,"-0,19%",0.002811026478056089
2004-05-23,1120.7,1093.6,1124.0,1090.7,"2,48%",0.016366760104891798
2004-05-30,1122.5,1120.7,1129.2,1113.3,"0,16%",0.00462633451957295
2004-06-06,1136.5,1122.5,1142.2,1122.5,"1,25%",0.011512575274530645
2004-06-13,1135.0,1136.5,1139.1,1122.2,"-0,13%",-0.002714060584836364
2004-06-20,1134.4,1135.0,1146.3,1124.4,"-0,05%",0.0063207795628128505
2004-06-27,1125.4,1134.4,1144.2,1123.1,"-0,79%",-0.0018319811567651945
2004-07-04,1112.8,1125.4,1125.4,1108.7,"-1,12%",-0.016430693934626817
2004-07-11,1101.4,1112.8,1119.6,1101.1,"-1,02%",-0.005153723120668419
2004-07-18,1086.2,1101.4,1116.3,1083.5,"-1,38%",-0.002947481243301131
2004-07-25,1101.7,1086.2,1103.7,1078.8,"1,43%",-0.01128728836334314
2004-08-01,1064.0,1101.7,1108.6,1062.2,"-3,42%",0.004439612213463784
2004-08-08,1064.8,1064.0,1079.0,1060.7,"0,08%",-0.026700342774670704
2004-08-15,1098.3,1064.8,1100.3,1064.8,"3,15%",0.01974050046339193
2004-08-22,1107.8,1098.3,1109.7,1092.8,"0,86%",0.008543124602381269
2004-08-29,1113.6,1107.8,1120.8,1094.7,"0,52%",0.010002703433360294
2004-09-05,1123.9,1113.6,1125.3,1113.6,"0,92%",0.004014989293361859
2004-09-12,1128.5,1123.9,1130.5,1119.7,"0,41%",0.004620989958233457
2004-09-19,1110.1,1128.5,1131.5,1108.0,"-1,63%",0.0008845643520565272
2004-09-26,1131.5,1110.1,1131.6,1101.3,"1,93%",8.83782589482518e-05
2004-10-03,1122.1,1131.5,1142.0,1120.2,"-0,83%",0.009190526687875566
2004-10-10,1108.2,1122.1,1127.0,1102.1,"-1,24%",-0.013134851138353776
2004-10-17,1095.7,1108.2,1118.0,1094.2,"-1,13%",-0.007985803016858917
2004-10-24,1130.2,1095.7,1131.4,1090.2,"3,15%",0.011985688729874822
2004-10-31,1166.2,1130.2,1170.9,1127.5,"3,19%",0.03491249779034833
2004-11-07,1184.2,1166.2,1184.2,1162.3,"1,54%",0.011358783841489473
2004-11-14,1170.3,1184.2,1188.5,1169.2,"-1,17%",0.003631143387941238
2004-11-21,1182.7,1170.3,1186.6,1167.9,"1,06%",-0.0015986537652503685
2004-11-28,1191.2,1182.7,1197.5,1172.4,"0,72%",0.009185909320748475
2004-12-05,1188.0,1191.2,1192.4,1173.8,"-0,27%",-0.0042588726513569375
2004-12-12,1194.2,1188.0,1208.0,1188.0,"0,52%",0.01308285810130827
2004-12-19,1210.1,1194.2,1213.7,1193.4,"1,33%",0.004718543046357659
2004-12-26,1211.9,1210.1,1217.3,1204.9,"0,15%",0.0029661366070692363
2005-01-02,1186.2,1211.9,1217.9,1182.1,"-2,12%",0.0004928941099155981
2005-01-09,1184.5,1186.2,1194.8,1175.6,"-0,14%",-0.018967074472452716
2005-01-16,1167.9,1184.5,1196.0,1167.8,"-1,40%",0.001004352192835567
2005-01-23,1171.4,1167.9,1177.5,1163.8,"0,30%",-0.015468227424749181
2005-01-30,1203.0,1171.4,1203.5,1171.4,"2,70%",0.022080679405520165
2005-02-06,1205.3,1203.0,1208.4,1191.5,"0,19%",0.004071458246780235
2005-02-13,1201.6,1205.3,1212.4,1197.3,"-0,31%",0.0033101621979476636
2005-02-20,1211.4,1201.6,1212.2,1184.2,"0,82%",-0.00016496205872651437
2005-02-27,1222.1,1211.4,1224.8,1198.1,"0,88%",0.010394324368915964
2005-03-06,1200.1,1222.1,1229.1,1198.2,"-1,80%",0.0035107772697582362
2005-03-13,1189.7,1200.1,1210.5,1182.8,"-0,87%",-0.015133024164022402
2005-03-20,1171.4,1189.7,1189.7,1168.7,"-1,54%",-0.01718298223874426
2005-03-27,1172.9,1171.4,1189.8,1163.7,"0,13%",8.405480373196994e-05
2005-04-03,1181.2,1172.8,1191.9,1167.7,"0,71%",0.0017650025214321907
2005-04-10,1142.6,1181.2,1190.2,1141.9,"-3,27%",-0.0014262941521939743
2005-04-17,1152.1,1142.6,1160.0,1136.2,"0,83%",-0.02537388674172414
2005-04-24,1156.8,1152.1,1164.8,1139.2,"0,41%",0.004137931034482678
2005-05-01,1171.3,1156.8,1178.6,1154.7,"1,25%",0.011847527472527375
2005-05-08,1154.0,1171.3,1178.9,1146.2,"-1,48%",0.00025453928389640446
2005-05-15,1189.3,1154.0,1191.2,1153.6,"3,06%",0.010433454915599327
2005-05-22,1198.8,1189.3,1199.6,1186.0,"0,80%",0.007051712558764134
2005-05-29,1196.0,1198.8,1205.6,1191.0,"-0,23%",0.00500166722240758
2005-06-05,1198.1,1196.0,1208.8,1191.1,"0,18%",0.002654280026542777
2005-06-12,1217.0,1198.1,1219.5,1194.5,"1,58%",0.00885175380542691
2005-06-19,1191.6,1217.0,1219.6,1191.5,"-2,09%",8.200082000819897e-05
2005-06-26,1194.4,1191.6,1204.1,1188.3,"0,23%",-0.012709084945883853
2005-07-03,1211.9,1194.4,1212.7,1183.5,"1,47%",0.00714226393156725
2005-07-10,1227.9,1211.9,1233.2,1211.9,"1,32%",0.016904428135565253
2005-07-17,1233.7,1227.9,1236.6,1221.1,"0,47%",0.002757054816736826
2005-07-24,1234.2,1233.7,1245.2,1228.2,"0,04%",0.00695455280608126
2005-07-31,1226.4,1234.2,1245.9,1225.6,"-0,63%",0.0005621586893671537
2005-08-07,1230.4,1226.4,1242.7,1222.7,"0,33%",-0.0025684244321374505
2005-08-14,1219.7,1230.4,1236.2,1215.9,"-0,87%",-0.005230546390923019
2005-08-21,1205.1,1219.7,1229.0,1204.2,"-1,20%",-0.0058243002750364425
2005-08-28,1218.0,1205.1,1227.3,1201.1,"1,07%",-0.0013832384052074875
2005-09-04,1241.5,1218.0,1243.1,1218.0,"1,93%",0.012873787989896579
2005-09-11,1237.9,1241.5,1242.6,1224.8,"-0,29%",-0.0004022202558120469
2005-09-18,1215.3,1237.9,1237.9,1205.3,"-1,83%",-0.003782391759214354
